timestamp_utc,open_interest,volume,trade_open,trade_high,trade_low,trade_close,trade_mean,trade_previous,yes_bid_close,yes_ask_close,timestamp_et,midpoint,spread,trade_close_filled
2026-04-29 17:29:00+00:00,313833.77,0.0,,,,,,0.55,0.539,0.55,2026-04-29 13:29:00-04:00,0.5445,0.01100000000000001,0.55
2026-04-29 17:31:00+00:00,313833.77,0.0,,,,,,0.55,0.54,0.55,2026-04-29 13:31:00-04:00,0.545,0.010000000000000009,0.55
2026-04-29 17:50:00+00:00,313833.77,0.0,,,,,,0.55,0.544,0.55,2026-04-29 13:50:00-04:00,0.547,0.006000000000000005,0.55
2026-04-29 17:51:00+00:00,313833.77,0.0,,,,,,0.55,0.545,0.55,2026-04-29 13:51:00-04:00,0.5475000000000001,0.0050000000000000044,0.55
2026-04-29 17:56:00+00:00,313833.77,75.0,0.545,0.545,0.545,0.545,0.545,0.55,0.545,0.55,2026-04-29 13:56:00-04:00,0.5475000000000001,0.0050000000000000044,0.545
2026-04-29 17:57:00+00:00,313833.77,0.0,,,,,,0.545,0.546,0.55,2026-04-29 13:57:00-04:00,0.548,0.0040000000000000036,0.545
2026-04-29 17:59:00+00:00,313702.77,131.88,0.55,0.55,0.545,0.545,0.5451,0.545,0.544,0.55,2026-04-29 13:59:00-04:00,0.547,0.006000000000000005,0.545
2026-04-29 18:01:00+00:00,313702.77,0.0,,,,,,0.545,0.545,0.55,2026-04-29 14:01:00-04:00,0.5475000000000001,0.0050000000000000044,0.545
2026-04-29 18:08:00+00:00,313702.77,0.0,,,,,,0.545,0.544,0.55,2026-04-29 14:08:00-04:00,0.547,0.006000000000000005,0.545
2026-04-29 18:09:00+00:00,313669.77,33.0,0.55,0.55,0.55,0.55,0.55,0.545,0.544,0.55,2026-04-29 14:09:00-04:00,0.547,0.006000000000000005,0.55
2026-04-29 18:13:00+00:00,313542.77,127.0,0.544,0.544,0.543,0.543,0.543,0.55,0.542,0.55,2026-04-29 14:13:00-04:00,0.546,0.008000000000000007,0.543
2026-04-29 18:14:00+00:00,313542.77,0.0,,,,,,0.543,0.543,0.55,2026-04-29 14:14:00-04:00,0.5465,0.007000000000000006,0.543
2026-04-29 18:16:00+00:00,313482.77,60.0,0.55,0.55,0.55,0.55,0.55,0.543,0.543,0.55,2026-04-29 14:16:00-04:00,0.5465,0.007000000000000006,0.55
2026-04-29 18:25:00+00:00,313482.77,0.0,,,,,,0.55,0.543,0.55,2026-04-29 14:25:00-04:00,0.5465,0.007000000000000006,0.55
2026-04-29 18:26:00+00:00,313482.77,0.0,,,,,,0.55,0.543,0.55,2026-04-29 14:26:00-04:00,0.5465,0.007000000000000006,0.55
